iter	Passed	Remaining
0	3	22451
1	6	20209
2	10	20648
3	14	21427
4	17	21228
5	20	20595
6	23	20340
7	26	20153
8	30	20022
9	33	19842
10	36	19636
11	39	19523
12	42	19428
13	45	19604
14	49	19680
15	52	19616
16	55	19550
17	58	19474
18	62	19588
19	65	19622
20	68	19617
21	72	19575
22	74	19479
23	78	19441
24	81	19368
25	83	19282
26	86	19185
27	89	19132
28	92	19032
29	95	19076
30	98	19033
31	101	19015
32	104	18981
33	107	18946
34	110	18893
35	113	18848
36	116	18814
37	119	18762
38	122	18725
39	126	18786
40	128	18733
41	131	18724
42	134	18691
43	137	18644
44	141	18703
45	144	18709
46	147	18720
47	150	18710
48	154	18797
49	158	18883
50	161	18870
51	164	18854
52	168	18856
53	171	18864
54	174	18851
55	178	18926
56	181	18955
57	184	18925
58	187	18877
59	191	18914
60	194	18941
61	198	19005
62	202	19037
63	204	19013
64	208	19067
65	211	19045
66	215	19076
67	218	19058
68	221	19079
69	224	19053
70	228	19050
71	231	19060
72	234	19028
73	237	19054
74	240	19033
75	243	19017
76	247	19034
77	250	19007
78	253	19030
79	257	19028
80	260	19019
81	263	19001
82	266	18990
83	269	18995
84	272	18988
85	275	18970
86	278	18943
87	281	18925
88	285	18958
89	289	18992
90	292	19013
91	296	19010
92	299	18999
93	302	18993
94	305	18975
95	308	18997
96	312	19016
97	315	18993
98	318	18994
99	321	18991
100	325	19012
101	328	19009
102	331	18996
103	334	18977
104	339	19037
105	342	19022
106	345	19047
107	349	19042
108	352	19064
109	356	19072
110	359	19085
111	363	19106
112	376	19620
113	380	19647
114	383	19640
115	386	19620
116	390	19617
117	393	19633
118	397	19659
119	400	19621
120	403	19624
121	407	19641
122	410	19633
123	413	19609
124	416	19572
125	419	19543
126	422	19517
127	425	19515
128	428	19507
129	431	19479
130	434	19464
131	437	19442
132	440	19420
133	443	19399
134	446	19388
135	449	19360
136	452	19349
137	455	19342
138	458	19324
139	461	19316
140	464	19311
141	467	19302
142	470	19282
143	474	19294
144	477	19278
145	480	19261
146	483	19243
147	486	19225
148	489	19208
149	492	19194
150	495	19185
151	498	19169
152	501	19149
153	503	19124
154	506	19109
155	510	19114
